id,subunit,patch,data_path
0790,1,0,data_patches/0790_1.npy
0790,1,1,data_patches/0790_1.npy
0790,1,2,data_patches/0790_1.npy
0790,1,3,data_patches/0790_1.npy
0790,1,4,data_patches/0790_1.npy
0790,1,5,data_patches/0790_1.npy
0790,1,6,data_patches/0790_1.npy
0790,1,7,data_patches/0790_1.npy
0790,1,8,data_patches/0790_1.npy
0790,1,9,data_patches/0790_1.npy
0790,1,10,data_patches/0790_1.npy
0790,1,11,data_patches/0790_1.npy
0790,1,12,data_patches/0790_1.npy
0790,1,13,data_patches/0790_1.npy
0790,1,14,data_patches/0790_1.npy
0790,1,15,data_patches/0790_1.npy
0790,1,16,data_patches/0790_1.npy
0790,1,17,data_patches/0790_1.npy
0790,1,18,data_patches/0790_1.npy
0790,1,19,data_patches/0790_1.npy
0790,1,20,data_patches/0790_1.npy
0790,1,21,data_patches/0790_1.npy
0790,1,22,data_patches/0790_1.npy
0790,1,23,data_patches/0790_1.npy
0790,1,24,data_patches/0790_1.npy
0790,1,25,data_patches/0790_1.npy
0790,1,26,data_patches/0790_1.npy
0790,1,27,data_patches/0790_1.npy
0790,1,28,data_patches/0790_1.npy
0790,1,29,data_patches/0790_1.npy
0790,1,30,data_patches/0790_1.npy
0790,1,31,data_patches/0790_1.npy
0790,1,32,data_patches/0790_1.npy
0790,1,33,data_patches/0790_1.npy
0790,1,34,data_patches/0790_1.npy
0790,1,35,data_patches/0790_1.npy
0790,1,36,data_patches/0790_1.npy
0790,1,37,data_patches/0790_1.npy
0790,1,38,data_patches/0790_1.npy
0790,1,39,data_patches/0790_1.npy
0790,1,40,data_patches/0790_1.npy
0790,1,41,data_patches/0790_1.npy
0790,1,42,data_patches/0790_1.npy
0790,1,43,data_patches/0790_1.npy
0790,1,44,data_patches/0790_1.npy
0790,1,45,data_patches/0790_1.npy
0790,1,46,data_patches/0790_1.npy
0790,1,47,data_patches/0790_1.npy
0790,1,48,data_patches/0790_1.npy
0790,1,49,data_patches/0790_1.npy
0790,1,50,data_patches/0790_1.npy
0790,1,51,data_patches/0790_1.npy
0790,1,52,data_patches/0790_1.npy
0790,1,53,data_patches/0790_1.npy
0790,1,54,data_patches/0790_1.npy
0790,1,55,data_patches/0790_1.npy
0790,1,56,data_patches/0790_1.npy
0790,1,57,data_patches/0790_1.npy
0790,1,58,data_patches/0790_1.npy
0790,1,59,data_patches/0790_1.npy
