id,map_path,contourLevel,subunit,tagged_path,number_points,tagged_points_path,chain_label
emd-0044,/work/mzumbado/biostructure/em/dataset/models/aligned_emd_0044.mrc,5.45,1,/work/mzumbado/biostructure/em/dataset/models/aligned_emd_0044_A.npy,3,/work/mzumbado/biostructure/em/dataset/extreme_points/emd-0044_1.npy,1
emd-0044,/work/mzumbado/biostructure/em/dataset/models/aligned_emd_0044.mrc,5.45,2,/work/mzumbado/biostructure/em/dataset/models/aligned_emd_0044_E.npy,3,/work/mzumbado/biostructure/em/dataset/extreme_points/emd-0044_2.npy,2
emd-0044,/work/mzumbado/biostructure/em/dataset/models/aligned_emd_0044.mrc,5.45,3,/work/mzumbado/biostructure/em/dataset/models/aligned_emd_0044_B.npy,3,/work/mzumbado/biostructure/em/dataset/extreme_points/emd-0044_3.npy,3
emd-0251,/work/mzumbado/biostructure/em/dataset/models/aligned_emd_0251.mrc,0.004,1,/work/mzumbado/biostructure/em/dataset/models/aligned_emd_0251_A.npy,3,/work/mzumbado/biostructure/em/dataset/extreme_points/emd-0251_1.npy,1
emd-0251,/work/mzumbado/biostructure/em/dataset/models/aligned_emd_0251.mrc,0.004,2,/work/mzumbado/biostructure/em/dataset/models/aligned_emd_0251_B.npy,3,/work/mzumbado/biostructure/em/dataset/extreme_points/emd-0251_2.npy,2
emd-0251,/work/mzumbado/biostructure/em/dataset/models/aligned_emd_0251.mrc,0.004,3,/work/mzumbado/biostructure/em/dataset/models/aligned_emd_0251_C.npy,3,/work/mzumbado/biostructure/em/dataset/extreme_points/emd-0251_3.npy,3
emd-0251,/work/mzumbado/biostructure/em/dataset/models/aligned_emd_0251.mrc,0.004,4,/work/mzumbado/biostructure/em/dataset/models/aligned_emd_0251_D.npy,3,/work/mzumbado/biostructure/em/dataset/extreme_points/emd-0251_4.npy,4
emd-0251,/work/mzumbado/biostructure/em/dataset/models/aligned_emd_0251.mrc,0.004,5,/work/mzumbado/biostructure/em/dataset/models/aligned_emd_0251_E.npy,3,/work/mzumbado/biostructure/em/dataset/extreme_points/emd-0251_5.npy,5
emd-0251,/work/mzumbado/biostructure/em/dataset/models/aligned_emd_0251.mrc,0.004,6,/work/mzumbado/biostructure/em/dataset/models/aligned_emd_0251_F.npy,3,/work/mzumbado/biostructure/em/dataset/extreme_points/emd-0251_6.npy,6
emd-0251,/work/mzumbado/biostructure/em/dataset/models/aligned_emd_0251.mrc,0.004,7,/work/mzumbado/biostructure/em/dataset/models/aligned_emd_0251_G.npy,3,/work/mzumbado/biostructure/em/dataset/extreme_points/emd-0251_7.npy,7
emd-0251,/work/mzumbado/biostructure/em/dataset/models/aligned_emd_0251.mrc,0.004,8,/work/mzumbado/biostructure/em/dataset/models/aligned_emd_0251_I.npy,3,/work/mzumbado/biostructure/em/dataset/extreme_points/emd-0251_8.npy,8
emd-0251,/work/mzumbado/biostructure/em/dataset/models/aligned_emd_0251.mrc,0.004,9,/work/mzumbado/biostructure/em/dataset/models/aligned_emd_0251_H.npy,3,/work/mzumbado/biostructure/em/dataset/extreme_points/emd-0251_9.npy,9
emd-0251,/work/mzumbado/biostructure/em/dataset/models/aligned_emd_0251.mrc,0.004,10,/work/mzumbado/biostructure/em/dataset/models/aligned_emd_0251_K.npy,3,/work/mzumbado/biostructure/em/dataset/extreme_points/emd-0251_10.npy,10
emd-0251,/work/mzumbado/biostructure/em/dataset/models/aligned_emd_0251.mrc,0.004,11,/work/mzumbado/biostructure/em/dataset/models/aligned_emd_0251_J.npy,3,/work/mzumbado/biostructure/em/dataset/extreme_points/emd-0251_11.npy,11
emd-0290,/work/mzumbado/biostructure/em/dataset/models/aligned_emd_0290.mrc,0.118,1,/work/mzumbado/biostructure/em/dataset/models/aligned_emd_0290_A.npy,3,/work/mzumbado/biostructure/em/dataset/extreme_points/emd-0290_1.npy,1
